t,price_raw,price_reg,reg_term,energy,time,lamE,lamT,E_eff,T_eff,energy_prev,time_prev,E_eff_prev,T_eff_prev,residE_prev,residT_prev,residE,residT,violE,violT,csE,csT,dx1
53,5.920435793489258,5.920436674378531,8.808892738674685e-07,9.513542705037358,4.306519034294039,0.4022053888813133,0.7422667812380995,10.60330808332197,4.113400171857149,9.508621875722541,4.306094422494059,10.637164357783808,4.107440555858069,-1.1285424820612668,0.19865386663598983,-1.0897653782846124,0.19311886243689003,0.0,0.19311886243689003,0.438309507762354,0.1433457164173937,0.003309638313332288
54,5.914039992732702,5.914040873812797,8.810800952302844e-07,9.526627203189648,4.3074141446175105,0.38041008131562104,0.7461291584868374,10.570615121973432,4.1191937377302565,9.513542705037358,4.306519034294039,10.60330808332197,4.113400171857149,-1.0897653782846124,0.19311886243689003,-1.0439879187837846,0.18822040688725394,0.0,0.18822040688725394,0.39714352907706546,0.1404367338008369,0.008918263347026176
55,5.903855038906156,5.903855920286086,8.813799300319107e-07,9.547594273494223,4.308763291924173,0.35953032293994536,0.7498935666245824,10.539295484409918,4.124840349936873,9.526627203189648,4.3074141446175105,10.570615121973432,4.1191937377302565,-1.0439879187837846,0.18822040688725394,-0.9917012109156946,0.18392294198729964,0.0,0.18392294198729964,0.35654665662045454,0.1379226309509423,0.014376155490417335
56,5.8900412956588335,5.890042177469726,8.818108927259036e-07,9.576111325670285,4.310546669013504,0.3396962987216315,0.7535720254643284,10.509544448082448,4.130358038196492,9.547594273494223,4.308763291924173,10.539295484409918,4.124840349936873,-0.9917012109156946,0.18392294198729964,-0.933433122412163,0.1801886308170113,0.0,0.1801886308170113,0.31708377678758737,0.13578511149041933,0.019604412122993874
57,5.872782411198947,5.872783293600722,8.824017743903703e-07,9.611797884202861,4.312741355659697,0.3210276362733882,0.7571757980806687,10.481541454410083,4.1357636971210034,9.576111325670285,4.310546669013504,10.509544448082448,4.130358038196492,-0.933433122412163,0.1801886308170113,-0.8697435702072216,0.17697765853869374,0.0,0.17697765853869374,0.279211722507602,0.1340031998464835,0.02457023234431843
58,5.852283434079556,5.852284317265779,8.831862227363576e-07,9.654229466616032,4.315321568571142,0.3036327648692438,0.7607153512514426,10.455449147303865,4.141073026877164,9.611797884202861,4.312741355659697,10.481541454410083,4.1357636971210034,-0.8697435702072216,0.17697765853869374,-0.8012196806878329,0.17424854169397808,0.0,0.17424854169397808,0.24327654691489936,0.1325535405997862,0.029243473999433497
59,5.82876881470407,5.8287696989048685,8.842007984759026e-07,9.70294169706729,4.318258926453031,0.2876083712554871,0.7642003220853222,10.431412556883231,4.146300483127983,9.654229466616032,4.315321568571142,10.455449147303865,4.141073026877164,-0.8012196806878329,0.17424854169397808,-0.7284708598159408,0.17195844332504784,0.0,0.17195844332504784,0.20951431749874702,0.13141069777429218,0.03359681506654104
60,5.802480309812794,5.802481195295771,8.854829769222545e-07,9.757434619722341,4.321522727889979,0.2730389540591683,0.7676394909518232,10.409558431088753,4.151459236427735,9.70294169706729,4.318258926453031,10.431412556883231,4.146300483127983,-0.7284708598159408,0.17195844332504784,-0.6521238113664118,0.1700634914622441,0.0,0.1700634914622441,0.17805520337256345,0.13054745201556678,0.03760589067233626
61,5.773674807533447,5.773675694602609,8.870691624633891e-07,9.817177175707755,4.325080239722958,0.25999647783184004,0.7710407607810681,10.38999471674776,4.156561141171602,9.757434619722341,4.321522727889979,10.409558431088753,4.151459236427735,-0.6521238113664118,0.1700634914622441,-0.5728175410400045,0.16851909855135538,0.0,0.16851909855135538,0.14893054311069664,0.12993509395317684,0.04124940528106858
62,5.742622090763587,5.7426229797563675,8.889927803532395e-07,9.881611807057778,4.328896993570353,0.24854012701103995,0.7744111427520952,10.37281019051656,4.161616714128143,9.817177175707755,4.325080239722958,10.38999471674776,4.156561141171602,-0.5728175410400045,0.16851909855135538,-0.49119838345878186,0.16728027944221058,0.0,0.16728027944221058,0.12208250861246314,0.12954371236273213,0.04450921979604775
